query	expect_answer	is_exact	answer	_from
优派VA2208w的面板类型	TN	0	【优派VA2208w参数】ViewSonic VA2208w液晶显示器参数_规格_性能...	
中国的土壤的出版社	<a>商务印书馆</a>	0	中国的土壤_百度百科	
优来客的餐馆名称	优来客	0	好听的饭店名字-起名网	
中山广场（上海中山广场小区）的中文名	中山广场	0	中山广场_百度百科	
人间特写的书名	人间特写	0	人间特写_百度百科	
乔桂元（蚌埠市政协秘书长）的中文名	乔桂元	0	乔桂元_百度百科	
亲爱的领导冒号的作者	微微爱	0	《亲爱的领导冒号》微微爱_【原创小说|言情小说】_晋江文学城	
今夜我俩包生男女·的ISBN	9789868005334	0	今夜我俩包生男女·_百度百科	
俞理（上海少年儿童出版社任美术编辑）的民族	汉	0	俞理_百度百科	
丰乐乡（四川石棉县丰乐乡）的地理位置	四川石棉县	0	在雅安市搜索丰乐乡(四川石棉县丰乐乡)的地理位置_百度地图	
乱世红娘的中文名	乱世红娘	0	乱世红娘_百度百科	
傅斯年图书馆善本古籍题跋辑录的出版社	中央研究院歷史語言研究所	0	傅斯年图书馆善本古籍题跋辑录_百度百科	
优之良品（汇金店）的营业时间	10:00-22:00	0	优之良品（汇金店）_百度百科	
临汉的连载网站	起点中文网	0	临汉最新全部章节在线阅读-爱阅小说网	
保亭新木姜的界	植物界	0	保亭新木姜子_百度百科	
佩特·斯托的出生地	保加利亚	1	保加利亚	来自百度百科
佛山市高明维美斯家具有限公司的成立于	2010年	1	2010年	来自百度百科
亦小人的小说进度	连载	0	仙路平凡-第二十三章 得罪小人-爱阅小说网	
乐视TV S30的电源功率	22W	1	22W	来自百度百科
亚米天阁（春熙店）的营业时间	中午11点半到晚上十点	0	亚米天阁(春熙店)_百度百科	
乌切奇的中文名	乌切奇	0	乌切奇_百度百科	
你要为谁工作的开本	16开	0	你要为谁工作_百度百科	
亚洲广场酒店的房间数量	225	0	亚洲广场酒店_百度百科	
亚诺斯·费伦奇的出生日期	1991-04-03	1	1991年4月3日	来自百度百科
亮马河会议中心万黛厅的地区	北京市	0	亮马河会议中心万黛厅_百度百科	
任毅然的职业	投融资专家、企业家	0	任毅然_百度百科	
信利N702的存储容量	4GB	1	512MB	来自百度百科
中央美术学院油画系材料表现工作室跟踪的出版时间	2000-9	1	2000年9月	来自百度百科
伊沙·马卡罗的身高	185厘米	1	185厘米	来自百度百科
仙侠奇缘之紫宵的中文名	仙侠奇缘之紫宵	0	仙侠奇缘之紫宵_百度百科	
中国转型期有效需求不足及其治理研究的页数	272	1	272页	来自百度百科
两岸创意市集火红61人的出版时间	2008	1	2008年	来自百度百科
仙界纵横的小说书号	98676	0	仙界纵横_潇玄_作品介绍_最新章节_全文无弹窗免费阅读-17k小说网	
优之星UT201(512MB)的存储容量	512MB	1	512MB	来自百度百科
修罗王传的完成字数	2041288	1	2041288	来自百度百科
倾城恋之梨花残的小说进度	连载	0	倾城恋之梨花残_百度百科	
傅勤毅的毕业院校	中南大学、哈尔滨工业大学	1	中南大学、哈尔滨工业大学	来自百度百科
傅清书的出生日期	1912	0	傅清书_百度百科	
中山顺鑫生物科技有限公司的公司口号	携手共富、诚信互赢	0	中山顺鑫生物科技有限公司_百度百科	
今夕是何年2的中文名	今夕是何年2	0	辽殇-二 不知今夕是何年-爱阅小说网	
你让我懂（汪苏泷演唱歌曲）的歌曲时长	4‘36	0	你让我懂_百度百科	
余光清的毕业院校	<a>西南师范大学</a>美术学院	1	西南师范大学美术学院	来自百度百科
何婉儿的国籍	中国	1	中国	来自百度百科
东风水库（莆田县东风水库）的土坝高	27.8米	0	东风水库_百度百科	
中医常用方药的比较应用的ISBN	9787535946096	0	中医常用方药的比较应用_百度百科	
伏牛山脉的地理位置	中国<a>河南省</a>	1	中国河南省	来自百度百科
伯塞利故事集的小说进度	连载	0	伯塞利故事集的txt全集下载地址_百度知道	
傻妃很倾城的作者	水青萝	1	水青萝	来自百度百科
保利尼奥·桑托斯的性别	男	1	男	来自百度百科
乡邻人家土菜馆的营业时间	09:00-21:00	0	乡邻人家土菜馆(流芳一路店)_百度地图	
伤感异地恋的小说进度	连载	0	情思异地-第一章 异地恋-爱阅小说网	
京东方LE-24Y600的屏幕尺寸	24英寸	1	24英寸	来自百度百科
业务二部的书名	业务二部	0	《业务二部》【摘要 书评 试读】- 京东图书	
保利梧桐语的占地面积	40000平方米	1	40000平方米	来自百度百科
书法艺术学习与欣赏的作者	蒋高军	1	蒋高军	来自百度百科
云南勐海大叶茶厂的特色	三香四色八味	0	云南勐海大叶茶厂_百度百科	
中国共产党三沙市永乐群岛工作委员会的成立地点	<a>西沙</a><a>晋卿岛</a>	1	西沙晋卿岛	来自百度百科
事半功倍求人术的ISBN	9789574529933	0	事半功倍求人术_百度百科	
伊朗阿斯曼航空6895号班机空难的中文名	伊朗阿斯曼航空6895号班机空难	0	伊朗阿斯曼航空6895号班机空难_百度百科	
云南师范大学冬阳爱心社的主要人员	刘俊言、李广翠、李政	0	云南师范大学冬阳爱心社_百度百科	
余怒短诗选的作者	余怒	1	余怒	来自百度百科
五天学会绘画：苹果、IBM、迪斯尼等500强企业创造力培训用书的连载网站	搜狐读书	0	五天学会绘画(苹果、IBM、迪斯尼等500强企业创造力培训用书第22版)	
云潭河的年平均降雨量	2203毫米	1	2203毫米	来自百度百科
伊斯坦布尔威特套房酒店的中文名	伊斯坦布尔威特套房酒店	0	伊斯坦布尔威特套房酒店_百度百科	
于海生（张学良将军的警卫连长）的职业	张学良将军的警卫连长	0	于海生_百度百科	
东庄（山东省烟台市海阳郭城镇下辖村）的地址	郭城镇南部	0	东庄_百度百科	
何勇（广州市执信中学校长）的职业	教师	0	何勇_百度百科	
中等职业学校综合素养系列教材：沟通技巧的页数	122页	1	122页	来自百度百科
伟人庄园的等级	AOC	1	AOC	来自百度百科
中国美术通识的出版社	河南人民出版社	0	中国美术通识-当当网	
像素赛车的类型	体育	0	像素赛车_百度百科	
产业创新理论与实践：日韩创新型产业模式比较及借鉴的ISBN	9787811227888	0	新课程背景下高中数学教学模式理论与实践 ISBN:978-7-5692-1719-3...	
东城中心小学的特色	设计新颖别致、校园布局合理	0	东城中心小学_百度百科	
传奇故事大全的中文名	传奇故事大全	0	传奇故事_百度百科	
中华褐栗金龟的中文学名	<a>有颚亚门</a>	0	中华褐栗金龟_百度百科	
中国城镇化的理论与实践：西部地区发展研究与探索的书名	中国城镇化的理论与实践：西部地区发展研究与探索	0	西部地区服务业集聚与城镇化互动发展研究-重庆大学公共经济与公共...	
信息法治：政府治理新视角的出版时间	2009-10-1	1	2009年10月1日	来自百度百科
东风辞的创作年代	宋	1	宋	来自百度百科
五代玉雕善财童子像的文物原属	宫廷器具	0	玉缘社区 菜鸟学堂 玉缘茶馆 五代玉雕善财童子像 【名称】:五代...	
中华风湿病学杂志的邮发代号	22-153	1	22-153	来自百度百科
乳白花栒子的科	蔷薇科	1	蔷薇科	来自百度知识图谱
亚光面料的中文名	亚光面料	0	亚光面料_百度百科	
偷天16的作者	血紅	1	血红	来自百度百科
伊万·昆廷的出生日期	1970-05-02	1	1970年5月2日	来自百度百科
任洪强的民族	汉族	1	汉族	来自百度百科
丹尼埃尔·洛佩斯·皮内多的国籍	西班牙	1	西班牙	来自百度百科
于素平的性别	女	1	女	来自百度百科
乐华LCD40P08的HDMI接口	1*HDMI1.3A	0	【乐华LCD40P08参数】乐华 LCD40P08平板电视参数_规格_性能_功能...	
以色列十二支派的首相	约瑟	1	约瑟	来自百度百科
佛梦洪荒的中文名	佛梦洪荒	0	佛梦洪荒-第一章 匪夷所思,梦归洪荒-爱阅小说网	
中国竹书画碑林碑刻集的出版时间	2012-10	1	2012年10月	来自百度百科
你还记得，你说过：爱我，吗的作者	洛诗凌	0	先生你还记得你说过的爱我吗_样子	
倪雷的外文名	Kevin	1	Kevin	来自百度百科
亚拉美斯的中文名	亚拉美斯	0	亚拉美斯_百度百科	
中国民间国际旅游的外文名称	China Civil International Tourist Corporation	1	China Civil International Tourist Corporation	来自百度百科
亲爱的，亲爱的作者	傲_	0	《亲爱的》鬼丑_【原创小说|纯爱小说】_晋江文学城	
临淇镇的火车站	红旗渠站	1	红旗渠站	来自百度百科
为分开庆祝的唱片公司	永高创意家族	1	永高创意家族	来自百度百科
中国古佚书辑本目录解题的开本	16开	0	中国古佚书辑本目录解题_百度百科	
东江国际摄影节的开放时间	2014.07.18 ~ 2014.09.21	0	东江国际摄影节_百度百科	
九等天使的作词	夏天	1	夏天	来自百度百科
人工喊价的外文名	Pit Trading	1	Pit Trading	来自百度百科
亢田村的面积	8000亩	1	8000亩	来自百度百科
中国宗族制度与谱牒编纂的出版时间	2011年5月1日	1	2011年5月1日	来自百度百科
伊人不凡的总裁	胡仲文	1	胡仲文	来自百度百科
为他人做嫁衣裳之四·鸳鸯错到底的丛书	為他人做嫁衣裳	0	为他人做嫁衣裳之四·鸳鸯错到底_百度百科	
余莉（湖北财税职业学院干部教育培训专职教师）的职业	湖北财税职业学院干部教育培训专职教师	0	余莉_百度百科	
丰创翰林国际的容积率	3.48	1	3.48%	来自百度百科
任远芳的性别	女	1	女	来自百度百科
会计学教程与案例：财务会计分册的开本	16开	0	会计学教程与案例：财务会计分册_百度百科	
仙界yy的小说进度	连载	0	...最近看了本小说叫《仙界网络直播间》【yy小说吧吧】_百度贴吧	
中国农业的历史源流的页数	167页	1	167页	来自百度百科
偏要当剩女的连载网站	起点中文网	0	离婚后,偏要来找你 追剩女 优书网	
仙剑奇侠传外传三：问情篇（官方资料设定）的ISBN	9787900128959	0	仙剑奇侠传外传三：问情篇（官方资料设定）_百度百科	
仙若有归的连载网站	起点中文网	0	仙有归_仙有归全文阅读_孙若语_心动小说网	
中华姓氏对联鉴赏的作者	李文郑	1	李文郑	来自百度百科
临床寄生虫病学的定价	70.0	0	临床寄生虫病学_百度百科	
付大维的民族	汉族	1	汉族	来自百度百科
企业决策价格目标的性质	管理学名词	0	企业决策价格目标_百度百科	
仙侠师徒缘诺欣凡的中文名	仙侠师徒缘诺欣凡	0	仙侠师徒缘诺欣凡_百度百科	
于连的民族	比利时	0	中国有哪些像于连那些民族小英雄_百度知道	
东搬葡萄西班牙之西一脚的出版时间	2010年7月10日	1	2010年7月10日	来自百度百科
世界经典探案故事福尔摩斯归来的副标题	福尔摩斯归来	0	世界经典探案故事 福尔摩斯归来 (豆瓣)_豆瓣读书	
似少年的小说进度	连载	0	修罗域-第一章:山村中的少年-爱阅小说网	
付心德的国籍	中国	1	中国	来自百度百科
优派Pro 8200的投影技术	DLP	0	超强色彩 优派1080p投影Pro8200首测_优派 Pro8200_投影机评测-中...	
伙房自然村的海拔	1400米	1	1400米	来自百度百科
从书法看中国文化的中文名	从书法看中国文化	0	从书法看中国文化_百度百科	
临湘市中医院的始建于	1976年	0	临湘市中医院的简介_百度知道	
亿盟商城的优势	洞察力的<a>采购</a>团队	0	新电商时代亿盟商城独具优势_新浪网	
东西方大陆传奇的小说进度	连载	0	东西方大陆传奇_百度百科	
余春生的职业	革命烈士	0	余春生的文章_证券之星	
中国少数民族教育史：第一卷的作者	中国少数民族教育史编委会 编　韩达 主编	1	韩达	来自百度百科
倾世恋缘的小说进度	连载	0	倾世恋缘_百度百科	
东铁匠营第一中学的所属地区	中国 北京	1	中国北京	来自百度百科
东益日盛精密机械厂的理念	获得顾客信赖、满足顾客需要	0	东益日盛精密机械厂_百度百科	
亲旧书来多问近况以诗答之的创作年代	宋代	1	宋代	来自百度百科
乐清京开电器有限公司的解释	经销批发的公司、一家集生产加工	1	一家集生产加工、经销批发的公司	来自百度百科
中国印刷人才网的上线时间	2002年	1	2002年	来自百度百科
伪劣的人生的作者	隆祥游星	0	劣质的人生_百度百科	
中国的探险家的出版时间	1998-01	1	1998年1月	来自百度百科
佛说大乘造像功德经的类型	佛教经典	0	佛说大乘造像功德经_百度百科	
亚人类的种群	独特种群	0	亚人类_百度百科	
二分网的构成	两种类型的节点	0	二分网_百度百科	
伊斯特本网球公开赛的属性	ATP世界巡回赛	0	伊斯特本网球公开赛_百度百科	
仙后工作室的专辑介绍	1nd Album 《song for TVXQ》	0	仙后工作室_百度百科	
亲密育儿游戏的作者	覃卓颖	1	覃卓颖	来自百度百科
两点红的门	脊索动物门	0	两点红的门_百度图片	
何时君怜归的连载网站	晋江文学城	0	《何时君怜归(修改版)》碎饼干_【原创小说|言情小说】_晋江文学城	
伟人周恩来（共4册） （平装）的ISBN	9787503925078	0	伟人周恩来 一生中的四次痛哭 (7)--文化--人民网	
傅金雨的出生日期	1934年	0	傅金雨_百度百科	
中兴C885的可选颜色	银色	0	中兴C885_百度百科	
中共云浮市委办公室的内设机构	14个职能科室	0	广东省中共云浮市委办公室内设机构职能介绍—公务员考试_中公教育	
云雪馨墨的小说进度	连载	0	云雪馨墨最新章节_云雪馨墨全文阅读_云雪馨墨小说全集_百田小说大全	
从你面前走开的连载网站	起点中文网	0	从你面前走开_百度百科	
你想看的那片海的中文名	你想看的那片海	0	陪你看的那片海:这首歌叫什么名字_百度知道	
亨利·鲁伊的国籍	阿根廷	1	阿根廷	来自百度百科
从洪荒开始的连载网站	晋江文学城	0	《从洪荒开始到诸天万界》_退后就是向前著_仙侠_起点中文网	
五经正义的中文名	五经正义	0	五经正义_百度百科	
乔治敦（美国特拉华州南部城市）的地点	<a>美国</a><a>特拉华州</a>南部	0	乔治敦_百度百科	
京红3号萝卜的外文名	Raphanus sativus L.	1	Raphanus sativus L	来自百度百科
乱花乱界的作者	米有找落	1	米有找落	来自百度百科
九阳JYC-21GS06的控制方式	电脑式控制	0	九阳JYC-21GS06_百度百科	
九寨沟牙扎藏寨的交通	距离九寨沟景区5.5公里	0	九寨沟牙扎藏寨_百度百科	
何占录的出生日期	1962年6月	0	何占录_百度百科	
中国铁路史画（1876-1995年）的页数	206	1	206页	来自百度百科
中国工人运动史（1-6册）的作者	刘明逵	1	刘明	来自百度百科
东方创世录的作者	混沌元素	1	混沌元素	来自百度百科
中央美院教师考前教学与辅导：素描的书名	中央美院教师考前教学与辅导：素描	0	中央美院教师考前教学与辅导：素描_百度百科	
丹风传奇的中文名	丹风传奇	0	丹风传奇_百度百科	
亚斯岛皇冠假日酒店的房间数量	428	0	亚斯岛皇冠假日酒店_百度百科	
中国水资源保护30年：水资源保护实践与探索的出版时间	2011-02-01	1	2011年2月1日	来自百度百科
你该更懂我的作者	花女臣	1	花女臣	来自百度百科
乐清市振德防爆电器厂的总部地点	乐清市	1	乐清市	来自百度百科
偷蛋龙下目的中文学名	偷蛋龙下目	0	偷蛋龙下目_百度百科	
