query	expect_answer	is_exact	answer	answer_from
九亭第二小学的简称	九亭第二小学从原九亭小学中分离出来、成为一所独立建制的小学	1	九亭第二小学从原九亭小学中分离出来、成为一所独立建制的小学	来自百度百科

丘记金的国籍	中国	1	中国	来自百度百科

何诗蒙的职业	音乐人	1	音乐人	来自百度百科

何乔新的出生地	<a>江西</a>广昌	1	江西广昌	来自百度百科

乌孙公主刘细君的作者	春萌	1	春萌	来自百度百科

二嫫的出品公司	<a>上海电影制片厂</a>、大洋影业有限公司	1	上海电影制片厂、大洋影业有限公司	来自百度百科

中国空心玻璃砖生产研发基地的所在地	德州	1	德州	来自百度百科

东莞日佳塑胶材料有限公司的总部地点	中国。东莞市长安镇全兴街	1	中国。东莞市长安镇全兴街	来自百度百科

何言风的体重	63kg	1	63kg	来自百度百科

产权理论与制度经济学的作者	黄少安	1	黄少安	来自百度百科

二娘的作者	柳絮儿飞的日子	1	柳絮儿飞的日子	来自百度百科

何塞·安赫尔·波佐的出生地	<a>马拉加（西班牙南部城市）</a>	1	马拉加	来自百度百科

云雪倾歌的作者	翎瑾	1	翎瑾	来自百度百科

人均的外文名	per person	1	per person	来自百度百科

作个真门徒的译者	江惠莲	1	江惠莲	来自百度百科

健康汤谱1388的出版时间	2010年02月	1	2010年2月	来自百度百科

亚历山大·多布罗斯科克的外文名	Dobroskok	1	Dobroskok	来自百度百科

中国煤矿城市经济转型研究的作者	<a>李成军</a>	1	李成军	来自百度百科

亚历山大·克里斯托沃的国籍	安哥拉	1	安哥拉	来自百度百科

会声会影11从入门到精通的出版时间	2008-2-1	1	2008年2月1日	来自百度百科

产品寿命结束公告的外文名	End-of-life announcement	1	End-of-life announcement	来自百度百科

倾我所有的中文名	倾我所有	1	倾我所有/我能成为你的唯一	来自百度百科

云尙咖啡的产地	云南保山地区等	1	云南保山地区等	来自百度百科

传奇战法道的作者	御剑凌天	1	御剑凌天	来自百度百科

中亚紫菀木的门	被子植物门	1	被子植物门	来自百度知识图谱

东营冬枣的目	鼠李目	1	鼠李目	来自百度知识图谱

信息系统项目管理师考试金色重点暨四年真题解析的作者	薛大龙 编	1	薛大龙	来自百度百科

倒立床的别名	旋转椅、又称倒立板凳	1	旋转椅,倒立板凳	来自百度百科

云水日月：星云大师传的页数	405	1	405页	来自百度百科

从新手到高手：PhotoshopCS4中文版的页数	414页	1	414页	来自百度百科

中元宝盛（北京）资产管理有限公司的公司名称	中元宝盛（北京）资产管理有限公司	1	中元宝盛(北京)资产管理有限公司	来自百度百科

业主权论的产生于	13世纪的欧洲	1	13世纪的欧洲	来自百度百科

保罗·劳特布尔的毕业院校	凯斯理工学院、匹兹堡大学	1	匹兹堡大学、凯斯理工学院	来自百度百科

人力资源管理流程设计与工作标准的作者	王瑞永　编著、孙宗虎	1	孙宗虎、王瑞永	来自百度百科

佟图赖的女婿	顺治帝	1	顺治帝	来自百度百科

丹尼尔·古斯林的出生日期	1990年2月2日	1	1990年2月2日	来自百度百科

倚天屠龙之风云再起的作者	葵花点穴手	1	葵花点穴手	来自百度百科

中岛直美的配音	<a>佐藤利奈</a>	1	佐藤利奈（PSP&DRAMA CD）、天乙准花（PC）	来自百度百科

乌拉尔山的长度	2500千米	1	2500千米	来自百度百科

俏皮娃娃逗阎罗的作者	水迷雅	1	水迷雅	来自百度百科

乡城县交通运输局的国家	中国	1	中国	来自百度百科

中商集团（亚洲）投资有限公司的公司名称	中商集团(亚洲)投资有限公司	1	中商集团(亚洲)投资有限公司	来自百度百科

任溶溶经典译丛：魔戒指的页数	149	1	149页	来自百度百科

中国西部生态旅游产品绿色创新的页数	296页	1	296页	来自百度百科

伍舜德图书馆的竣工时间	1994年	1	1994年	来自百度百科

企业安全生产主体责任管理实务的作者	陈国华	1	陈国华	来自百度百科

东方曼哈顿的绿化率	40%	1	40%	来自百度百科

侯伟国的民族	彝族	1	彝族	来自百度百科

于笑虹的逝世日期	1973年	1	1973年	来自百度百科

中国领导新闻网的外文名	China's leading news	1	China's leading news	来自百度百科

京都精华大学的简称	精华大或精大	1	SEIKA、精华大、精大	来自百度百科

交互式冲突解决会谈的外文名	interactiveconflictresolution	1	interactiveconflictresolution	来自百度百科

企业会计模拟实训教程的出版时间	2008-08-01	1	2008年8月1日	来自百度百科

中小企业板监管与创新的作者	张育军 编	1	张育军	来自百度百科
东南亚的封建：奴隶制结构与古代东方社会的作者	何平	1	何平	来自百度百科

以色列无毛鸡的外文名	Israel hairless chickens	1	Israel hairless chickens	来自百度百科

中文版Photoshop CS2影像特效实训教程的页数	360	1	360页	来自百度百科

云南泛亚学院小西门校区的创办时间	2013	1	2013年	来自百度百科

五指山红星学校的现任校长	苏时强	1	苏时强	来自百度百科

乐盛村的面积	19平方公里	1	19平方千米	来自百度百科

中国蜂业的邮发代号	82-567	1	82-567	来自百度百科

中学地理词典的作者	李通	1	李通	来自百度百科

任中秀的民族	汉族	1	汉族	来自百度百科

余建煊的毕业院校	天津大学	1	天津大学	来自百度百科

伊索的职业	寓言家、教育家	1	哲学家、文学家、寓言家	来自百度百科

亚洲社会党会议的外文名	Asian Socialist. Conference	1	Asian Socialist.Conference	来自百度百科

五色冲自然村的别名	五色冲	1	五色冲	来自百度百科

亚特兰大巴克黑德/莱诺克斯原住客栈的地理位置	巴克黑得/布鲁克黑文	1	巴克黑得/布鲁克黑文	来自百度百科

保宽村的面积	3500亩	1	3500亩	来自百度百科

中航航空电子有限公司的总部地点	<a>中国航空工业第一集团公司</a>	1	中国航空工业第一集团公司	来自百度百科

中村亮的身高	185厘米	1	185厘米	来自百度百科

中山（肇庆大旺）产业转移工业园的成立时间	2007年7月	1	2007年7月	来自百度百科

中航阳天电子的总部地点	东莞	1	东莞	来自百度百科

严中青年网的校训	务本求实、创新求真	1	务本求实,创新求真	来自百度百科

丹尼·阿曼科瓦的惯用脚	右脚	1	右脚	来自百度百科

中田秀夫的出生地	冈山县	1	冈山县	来自百度百科

二百八十一封信的集数	20	1	20集	来自百度百科

伊丽莎白·伊巴拉的国籍	西班牙	1	西班牙	来自百度百科

东林春晚作的作者	陈藻	1	陈藻	来自百度百科

乔治费歇尔的总部地点	瑞士	1	瑞士	来自百度百科

亲近观音：体验自在的出版时间	2011-4-1	1	2011年4月1日	来自百度百科

东莞市厚街美通布料有限公司的总部地点	东莞市厚街	1	东莞市厚街	来自百度百科

余高化的国籍	中国	1	中国	来自百度百科

人体解剖生理学复习指南与考研辅导的出版时间	2008	1	2008年	来自百度百科

佳西巴尔莫勒尔汽车旅馆的地理位置	北霍巴特/新城	1	北霍巴特/新城	来自百度百科

债法总论的出版社	<a>高等教育出版社</a>	1	高等教育出版社	来自百度百科

中学英语深度测试训练·高一·下的出版时间	1900-01-01	1	1900年1月1日	来自百度百科

伊丝丹奴的公司名称	深圳市思丹服饰有限公司	1	深圳市思丹服饰有限公司	来自百度百科

任文陟的出生地	吉林省白城市	1	吉林省白城市	来自百度百科

何明钟的出生地	韩国釜山	1	韩国釜山	来自百度百科

东涝台村的所属地区	山东省威海市	1	山东省威海市	来自百度百科

优多降的外文名	Mecarbinate	1	Mecarbinate	来自百度百科

佩塔尔·布尔莱克的惯用脚	右脚	1	右脚	来自百度百科

东西湖区吴家山第四中学的占地面积	173亩	1	173亩	来自百度百科

倩女幽魂三部曲的外文名	A Chinese Ghost Story	1	A Chinese Ghost Story	来自百度百科

中华人民共和国药品管理法图释的作者	插图姜浩林	1	姜浩林	来自百度百科

他是个杀手的作者	反叛的大叔	1	大叔	来自百度百科

付洪雁的出生地	黑龙江省宁安市	1	黑龙江宁安	来自百度百科

为什么这样忧伤的歌曲时长	2'56	1	2分钟	来自百度百科

东莞虎门梦想服饰有限公司的总部地点	东莞	1	东莞	来自百度百科

修女约安娜的导演	（波兰）耶日·卡瓦莱罗维奇	1	耶尔齐·卡瓦莱罗维奇	来自百度知识图谱

信浓紫炎的登场作品	《绝妙侦探之迷宫》	1	绝妙侦探之迷宫	来自百度百科

乐安县法制办的电话区号	0794	1	0794	来自百度百科

中华茶艺学的出版时间	2001-3-1	1	2001年3月1日	来自百度百科

临猗中学的创办时间	1952	1	1952年	来自百度百科

主句的外文名	main clause	1	main clause	来自百度百科

东方壁纸网的成立时间	2011年10月	1	2011年10月	来自百度百科

伊肯纳·奥帕拉的出生日期	1989-02-21	1	1989年2月21日	来自百度百科

亚洲第一桥的跨度	64米	1	64米	来自百度百科

东川鼠尾草的亚纲	合瓣花亚纲 Sympetalae	1	合瓣花亚纲	来自百度知识图谱

东海县中心校幼儿园的建筑面积	2500平方米	1	2500平方米	来自百度百科

俞伟根的民族	汉族	1	汉族	来自百度百科

仲子书院遗址的位于	山东省微山县	1	山东省微山县	来自百度百科

中国经济：转型与增长的出版时间	2010-8-1	1	2010年8月1日	来自百度百科

东古墙村的地理位置	河南省新乡市延津县小潭乡政府西南部	1	河南省新乡市延津县小潭乡政府西南部	来自百度百科

于福祥的代表作品	中西医结合治疗结核性胸膜炎	1	中西医结合治疗结核性胸膜炎	来自百度百科

东园探桃李二首的作者	杨万里	1	杨万里	来自百度百科

何兴恒的国籍	中国	1	中国	来自百度百科

伏虎金刀的导演	罗维	1	黎大伟	来自百度知识图谱

中营组的外文名	Margarya melanoides	1	Margarya melanoides	来自百度百科

体育锻炼与欣赏的作者	黄迎乒、张振东	1	张振东、黄迎乒	来自百度百科

乡村风流：印象乡村的作者	吕则天	1	吕则天	来自百度百科

佛山市医学会的成立于	1963年	1	1963年	来自百度百科

中国古建筑分类图说的出版时间	2005-6	1	2005年6月	来自百度百科

中国城乡统筹发展报告2011的作者	程志强	1	程志强	来自百度百科

云峰学府花园的开发商	广州市宏峰房地产开发有限公司	1	广州市宏峰房地产开发有限公司	来自百度百科

五魂珠的作者	唐弦语	1	唐弦语	来自百度百科

人体摄影艺术教程：摄影大师杰作探秘的页数	432页	1	432页	来自百度百科

中级法语教程（下册）的页数	246	1	246页	来自百度百科

仲肖的职业	演员	1	演员	来自百度百科

中国连环画优秀作品读本：铁道游击队的出版时间	2010年4月1日	1	2010年4月1日	来自百度百科

亚特兰大六旗费尔维尤酒店的英文名称	Fairview Inn at Six Flags Atlanta	1	Fairview Inn at Six Flags Atlanta	来自百度百科

俞书勤的职业	教师	1	教学科研工作者	来自百度百科

东莞大龙物流有限公司的总部地点	东莞	1	东莞	来自百度百科

世界历史第二册的出版时间	2001-03-01	1	2001年3月1日	来自百度百科

倾国倾城，妃要最嚣张的作者	一二三四丶	1	一二三四	来自百度百科

中国眼科博物馆的竣工时间	2009年12月22日	1	2009年12月22日	来自百度百科

东芝L700-T21N的屏幕尺寸	14英寸 1366x768	1	14英寸	来自百度百科

二甲酚的分子量	122	1	122	来自百度百科

东吴教育研究院的外文名	dongwujiaoyuyanjiuyuan	1	dongwujiaoyuyanjiuyuan	来自百度百科

中国孝义·楹联集锦-上下册的页数	415	1	415页	来自百度百科

傅田华的民族	汉族	1	汉族	来自百度百科

中源协和干细胞生物工程股份公司的简称	中源协和	1	中源协和	来自百度百科

任显智的民族	汉	1	汉族	来自百度百科

义乌的方言	<a>吴语</a>—金衢片—义乌话	1	吴语—金衢片—义乌话	来自百度百科

业余影视基地的创立时间	2008年	1	2008年	来自百度百科

中共吉安市委党校的成立时间	1949年8月	1	1949年8月	来自百度百科

丹参种苗的门	被子植物门	1	被子植物门	来自百度知识图谱

买买提江·阿布拉的代表作品	《热土》、《展望》、《村庄的一天》	1	展望、村庄的一天、热土	来自百度百科

中国Hold住了的作者	易学军、陈荣群	1	易学军	来自百度百科

东北高翠雀的属	翠雀属	1	翠雀属	来自百度知识图谱

信易安的外文名	xeacn	1	xeacn	来自百度百科

倪晨曦的身高	170cm	1	170cm	来自百度百科

中华人民共和国行政区划手册的出版社	中国地图出版社;	1	中国地图出版社,	来自百度百科

企业家养生之道的外文名	Entrepreneurs are a way of keeping good health	1	Entrepreneurs are a way of keeping good health	来自百度百科

中兴U350的尺寸/体积	110×45×18mm	1	110*45*18毫米	来自百度百科

中关村指数的外文名	Zhong Guancun Index	1	Zhong Guancun Index	来自百度百科

伯爵宫酒店的英文名称	Earls Court House	1	Earls Court House	来自百度百科

倾国掠的作者	qwe_rr	1	qwe_rr	来自百度百科

佳能 AF35M II的上市时间	1983年4月	1	1983年4月	来自百度百科

保险业压力测试比较研究的作者	梁涛	1	梁涛	来自百度百科

伯比斯河的外文名	Berbice River	1	Berbice River	来自百度百科

何喜春的性别	男	1	男	来自百度百科

九云梦的出版时间	2014-3	1	2014年3月	来自百度百科

中国国民党台湾四十年史的作者	宋春                       /            于文藻	1	于文藻、宋春	来自百度百科

中国区域企业发展的动力机制的出版时间	2013-1	1	2013年1月	来自百度百科

乔英杰的毕业院校	哈尔滨工业大学	1	哈尔滨工业大学	来自百度百科

亚历山大·弗拉基米罗维奇·鲁茨科伊的国籍	俄罗斯	1	俄罗斯	来自百度百科

中山市古镇铭之柏照明电器厂的年营业额	5000万—1亿元人民币	1	5000万-1亿人民币	来自百度百科

中国书画装裱款式百例的作者	杨正旗	1	杨正旗	来自百度百科

代理探长V0.2Build1108的软件大小	675 KB	1	675KB	来自百度百科

乳腺的功能	分泌乳汁	1	分泌乳汁	来自百度百科

中级篇-中老年二胡教程-含2DVD的作者	岳峰	1	岳峰	来自百度百科
乐得花园的物业公司	广州市江信物业管理有限公司	1	广州市江信物业管理有限公司	来自百度百科

会变大的图形的游戏大小	1548.23KB	1	1548.23KB	来自百度百科

何顺服的民族	汉族	1	汉族	来自百度百科

东陇中学的校训	创特色、保稳定、育新人、求发展	1	保稳定、求发展、育新人、创特色	来自百度百科

中国建筑·传统与新统的作者	吴焕加	1	吴焕加	来自百度百科

中国特征建设的页数	133	1	133页	来自百度百科

云雯天的性别	男	1	男	来自百度百科

丘利的国籍	西班牙	1	西班牙	来自百度百科

人的发展问题研究的页数	284	1	284页	来自百度百科

何霞书画辑的作者	刘晓林	1	刘晓林	来自百度百科

余雪岩的民族	汉	1	汉族	来自百度百科

中国古代成语故事的出版社	北京大学出版社	1	北京大学出版社	来自百度百科

二十一世纪神秘事件集的作者	ken骨头	1	ken	来自百度百科

乱斗英雄的游戏类型	休闲	1	休闲类	来自百度百科

中文版CorelDRAW图形设计经典实录228例的出版时间	2010年4月1日	1	2010年4月1日	来自百度百科

九曲景区的全长	约9.5公里	1	约9.5公里	来自百度百科

中考英语三轮复习·21天攻克中考短语句型的页数	203	1	203页	来自百度百科

佛山市凌远医疗科技有限公司的总部地点	佛山市	1	佛山市	来自百度百科

中环三太子的所属地区	香港	1	香港	来自百度百科

傅守志的国籍	中国	1	中国	来自百度百科

临床解剖学(第2版)的出版时间	2008-1-1	1	2008年1月1日	来自百度百科

中文Flash CS3动画制作应用基础教程的页数	198页	1	198页	来自百度百科

乌蒙紫晶报春的门	<a>被子植物门</a>	1	被子植物门	来自百度知识图谱

乔永佳的性别	男	1	男	来自百度百科

于荣光的毕业院校	北京市风雷京剧团	1	北京市风雷京剧团	来自百度百科

何品言的出生地	陕西武功县普集镇屈家村	1	陕西武功县普集镇屈家村	来自百度百科

中央戏剧学院京剧系的现任校长	郭跃进	1	徐翔	来自百度百科

买空的外文名	long sale	1	long sale	来自百度百科

亚伯拉罕酒店的地理位置	市中心	1	市中心	来自百度百科

中国的生物经济的页数	910	1	910页	来自百度百科

丹山工业区的建立时间	1999年12月	1	1999年12月	来自百度百科

二次元兑换人生的作者	狂气	1	狂气	来自百度百科

修界传说之修仙的作者	心幻枫林	1	心幻枫林	来自百度百科

中国旅游研究2007的页数	243页	1	243页	来自百度百科

从希腊原子到夸克:发现原子的出版时间	2010年4月1日	1	2010年4月1日	来自百度百科

东米各庄村的地理位置	河北省廊坊市固安县	1	河北省廊坊市固安县	来自百度百科

九月十日偶书的文学体裁	<a>诗</a>	1	诗	来自百度百科

云搜宝的成立时间	2010年11月	1	2010年11月	来自百度百科

乌戈·阿亚拉的出生日期	1987-03-31	1	1987年3月31日(白羊座)	来自百度百科

中山市石岐杨仙逸小学的位置	市中心岐关西路	1	市中心岐关西路	来自百度百科

中国线描人物画技法的页数	128	1	128页	来自百度百科

乌柏蜜的季节	夏天	1	夏天	来自百度百科

倒卵石栎的目	<a>牻牛儿苗目</a>	1	牻牛儿苗目	来自百度知识图谱

丹尼·科莱斯的出生日期	1981-10-31	1	1981年10月31日	来自百度百科

世界文化遗产秦始皇陵及兵俑坑的面值	5	1	5	来自百度百科

中国社会保障改革与发展战略理念目标与行动方案的出版时间	2008-10-1	1	2008年10月1日	来自百度百科

为你着了魔的作者	希川	1	希川	来自百度百科

中共三台中心特支机关遗址的成立时间	1939年11月1日	1	1939年11月1日	来自百度百科

仰天湖风景区的地理位置	湖南省郴州市<a>骑田岭</a>	1	湖南省郴州市骑田岭	来自百度百科

中东：自基督教兴起至二十世纪末的页数	408页、390千	1	408页	来自百度百科

乐至县圆通寺的位于	乐至县良安镇周家湾村观音山上	1	乐至县良安镇周家湾村观音山上	来自百度百科

中国农村医疗卫生服务体系建设与评估的作者	张智若	1	张智若	来自百度百科

你是我的太阳鸟的作者	何以倾城	1	何以倾城	来自百度百科

你情人在哪里的发行时间	1998.07.23	1	1998年7月23日	来自百度百科

亚粗毛鳞盖蕨的纲	薄囊蕨纲	1	薄囊蕨纲	来自百度知识图谱

东淮社区的人口	9500人	1	9500人	来自百度百科
九年级世界历史（下人教版）的页数	176	1	176页	来自百度百科

东风（十堰）气缸垫有限公司的成立时间	1978年	1	1978年	来自百度百科

中国科技论文的国际刊号	10-1033/N	1	10-1033/N	来自百度百科

今世的出处	《说文》	1	说文	来自百度百科

临汾市职业安全卫生检测检验站的成立时间	1990年6月	1	1990年6月	来自百度百科

俭坪乡的面积	82多平方公里	1	82平方千米	来自百度百科

五百坦烈士纪念碑的建筑面积	3.5㎡	1	3.5平方米	来自百度百科

仓下社区的人口	7300多人	1	7300多人	来自百度百科

中国舰船研究设计中心的前身	<a>武汉船舶设计研究所</a>	1	武汉船舶设计研究所	来自百度百科

丽讯D85ESTA的投影尺寸	37.3-373英寸	1	37.3-373英寸	来自百度百科

东阿县顾官屯中学的建筑面积	9122平方米	1	9122平方米	来自百度百科

休宁县科兴名优茶厂的总部地点	黄山市休宁县	1	黄山市休宁县	来自百度百科

中国广播艺术团的成立于	1953年	1	1953年	来自百度百科

世界经典文学名著宝库:三十六计的页数	143	1	143页	来自百度百科

修力乾坤的作者	娑婆诃	1	娑婆诃	来自百度百科

五大拨村的气候条件	年平均气温19℃	1	年平均气温19℃	来自百度百科

仙府种田的出版时间	2014-07-18	1	2014年7月18日	来自百度百科

东莞市鸿运环保热能设备有限公司的成立时间	二00六年	1	2006年	来自百度百科

中国葡萄酒商务网的成立时间	2011年3月	1	2011年3月	来自百度百科

伊洛蒂·赫格博鲁的外文名	Elodie Hegoburu	1	Elodie Hegoburu	来自百度百科

东木的美称	“渔米之乡”	1	“渔米之乡”	来自百度百科

丫头，做我的老婆吧的作者	暗夜深星	1	暗夜深星	来自百度百科

人日两篇的文学体裁	五言律诗、七言律诗	1	五言律诗,七言律诗	来自百度百科

临湘市五里中学的占地面积	93.1亩	1	93.1亩	来自百度百科

为荣誉而飞的其他名称	Wings Of Glory	1	Wings Of Glory	来自百度百科

九悦江南的占地面积	项目30333平方米	1	30333平方米	来自百度百科

何冠鳞的民族	汉	1	汉族	来自百度百科

五龙溪的地理位置	金果坪	1	金果坪	来自百度百科

五大神器的作者	九星沉落	1	九星沉落	来自百度百科

低脂奶香豆腐塔的味道	可口	1	可口	来自百度百科

企业人力资源法务全解的出版时间	2007-9-1	1	2007年9月1日	来自百度百科

井上厦的出生日期	1934年	1	1934年	来自百度百科

做第一名的销售员的出版社	吉林音像出版社	1	吉林音像出版社	来自百度百科

伊藤拓真的国籍	日本	1	日本	来自百度百科

中国特色社会主义史论研究：前沿问题卷的作者	赵曜、严书翰	1	严书翰、赵曜	来自百度百科

东芝GR-B207K的冷冻室容积	77L	1	77升	来自百度百科

二阶村的年平均气温	14.47 ℃	1	14.47摄氏度	来自百度百科

五代千手千眼观音绢画的尺寸	左右宽60厘米、上下长76厘米	1	上下长76厘米,左右宽60厘米	来自百度百科

乐活首都茉莉民宿的酒店星级	3星级	1	三星级	来自百度百科

佳居花园的物业公司	重庆万祺物业管理公司	1	重庆万祺物业管理公司	来自百度百科

你所不知道的世界之最的作者	吕淑春	1	吕淑春	来自百度百科

你的谎言瞒过我的眼睛的填词	刘新圈	1	刘新圈	来自百度百科

做人做官：实践篇1的出版时间	2010年3月1日	1	2010年3月1日	来自百度百科

中国农业大学动物科学技术学院的成立时间	1993年	1	1993年	来自百度百科

任伯年山水画的作者	任伯年	1	任伯年	来自百度百科

东莞市鼎升仪器有限公司的总部地点	东莞市	1	东莞市	来自百度百科

人生美的总部地点	国内	1	国内	来自百度百科

中国轻工工艺品进出口商会的成立时间	1988年	1	1988年	来自百度百科

代汝宽的性别	男	1	男	来自百度百科

你的好的编曲	吕绍淳	1	吕绍淳	来自百度百科

中西部地区民营企业的出版时间	2007-8	1	2007年8月	来自百度百科
从未如此的爱过你的作者	忽糖糖	1	忽糖糖	来自百度百科

仙武封神的作者	步佳迪	1	如狼似虎	来自百度百科

中大阳村的所属地区	中国华东	1	中国华东	来自百度百科

偶成题裴晋公祠的文学体裁	七言律诗	1	七言律诗	来自百度百科

伊东静香的身高	169厘米	1	169cm	来自百度百科

会发镇的气候条件	温带季风气候	1	温带季风气候	来自百度百科

乔·汤普森的国籍	英格兰	1	英国	来自百度百科

佩特·斯托的出生地	保加利亚	1	保加利亚	来自百度百科

佛山市高明维美斯家具有限公司的成立于	2010年	1	2010年	来自百度百科

乐视TV S30的电源功率	22W	1	22W	来自百度百科

亚诺斯·费伦奇的出生日期	1991-04-03	1	1991年4月3日	来自百度百科

信利N702的存储容量	4GB	1	512MB	来自百度百科

中央美术学院油画系材料表现工作室跟踪的出版时间	2000-9	1	2000年9月	来自百度百科

伊沙·马卡罗的身高	185厘米	1	185厘米	来自百度百科

中国转型期有效需求不足及其治理研究的页数	272	1	272页	来自百度百科

两岸创意市集火红61人的出版时间	2008	1	2008年	来自百度百科

优之星UT201(512MB)的存储容量	512MB	1	512MB	来自百度百科

修罗王传的完成字数	2041288	1	2041288	来自百度百科

傅勤毅的毕业院校	中南大学、哈尔滨工业大学	1	中南大学、哈尔滨工业大学	来自百度百科

余光清的毕业院校	<a>西南师范大学</a>美术学院	1	西南师范大学美术学院	来自百度百科

何婉儿的国籍	中国	1	中国	来自百度百科

伏牛山脉的地理位置	中国<a>河南省</a>	1	中国河南省	来自百度百科

傻妃很倾城的作者	水青萝	1	水青萝	来自百度百科

保利尼奥·桑托斯的性别	男	1	男	来自百度百科

京东方LE-24Y600的屏幕尺寸	24英寸	1	24英寸	来自百度百科

保利梧桐语的占地面积	40000平方米	1	40000平方米	来自百度百科

书法艺术学习与欣赏的作者	蒋高军	1	蒋高军	来自百度百科

中国共产党三沙市永乐群岛工作委员会的成立地点	<a>西沙</a><a>晋卿岛</a>	1	西沙晋卿岛	来自百度百科

余怒短诗选的作者	余怒	1	余怒	来自百度百科

云潭河的年平均降雨量	2203毫米	1	2203毫米	来自百度百科

中等职业学校综合素养系列教材：沟通技巧的页数	122页	1	122页	来自百度百科

