query	expect_answer	is_exact	answer	_from
上海音乐教育基地的国家	中国	1	中国	来自百度百科
C·彭马的国籍	英格兰	1	英国	来自百度百科
NSK NN3064K轴承的中文名	NSK NN3064K轴承	0	NSK NN3064K轴承_百度百科	
K·兹叟特的职业	运动员 足球	0	K·兹叟特_百度百科	
45Mn2合金结构钢的主要特性	强度、耐磨性和淬透性均较高	0	45Mn2合金结构钢_百度百科	
1925年4月24日的分类	历史上的今天	0	1925年4月24日_百度百科	
七年困的小说进度	连载	0	梦孤凌渊-第一章 转瞬七年-爱阅小说网	
Puredata PCD8023UA-12的高	44	1	44	来自百度百科
三峡，风鸣谷应的作者	龙嘉木	0	三峡，风鸣谷应_百度百科	
Chimport 中国（广州）世界品牌进口博览会的主办单位	广州光亚展览贸易有限公司	1	广州光亚展览贸易有限公司	来自百度百科
After Effects CS5.5案例实战从入门到精通的出版社	机械工业出版社	0	After Effects CS5.5案例实战从入门到精通_百度百科	
FAG ZGB120X135X120轴承的外径	135mm	1	135毫米	来自百度百科
《管理科学与工程考试大纲及指南》课后习题和典型题详解的出版时间	2008-7	1	2008年7月	来自百度百科
一刀擎天之七省盟主的作者	钟空	0	一刀擎天之七省盟主_百度百科	
Win32/Parite.a的病毒类型	文件型	0	virus.win32.parite.a_百度百科	
ProtelDXP2004SP2印制电路板设计实用教程的出版社	机械工业出版社	0	ProtelDXP2004SP2印制电路板设计实用教程_百度百科	
αβγ理论的用处	发现充满宇宙的<a>背景辐射</a>的存在	0	αβγ理论_百度百科	
Balee的公司性质	民营	0	深圳市百力科技有限公司2017最新招聘信息_电话_地址 - 58企业名录	
一声活着的连载网站	起点文学网	0	我的传奇二战-第一章 还活着-爱阅小说网	
Somnus的守护天使的小说进度	连载	0	Somnus的守护天使最新章节_Somnus的守护天使全文阅读_Somnu..._百田	
下杉木箐村的所属地区	云南省红河州石屏县龙朋镇三家村	1	云南省红河州石屏县龙朋镇三家村	来自百度百科
WIS-HDMICAP高清采集卡的控制方式	键控/遥控	0	WIS-HDMICAP高清采集卡_百度百科	
4年级（下）的页数	97	1	97页	来自百度百科
37路公交车的作者	虫儿蛀	0	北京37路公交车_百度百科	
2009全国卫生专业技术资格考试指导：疼痛学（适用专业疼痛学中级） （其他）的作者	全国卫生专业技术资格考试专家委员会	0	2009全国卫生专业技术资格考试指导：疼痛学（适用专业疼痛学中级...	
Hotel Chimera的酒店地址	Via Vittorio Veneto 46, 52100 阿雷佐	0	Hotel Chimera_百度百科	
LG L1942C的屏幕尺寸	19英寸	1	19英寸	来自百度百科
一念之间咖啡馆的餐馆名称	一念之间咖啡馆	0	一念之间咖啡馆_百度百科	
Mn15Cr2Al3V2WMo的缺点	切削加工比较困难	0	7Mn15Cr2Al3V2WMo常规信息【高高特殊钢之家吧】_百度贴吧	
B·高维利的英文名	BenRowley	1	BenRowley	来自百度百科
上海途博工业技术有限公司的总部地点	上海	1	上海	来自百度百科
2012第二十届无锡太湖国际机床及模具制造设备展览会的展出时间	2012年03月01日 至 2012年03月04	1	2012年3月1日 至 2012年3月04	来自百度百科
一氧化碳气体报警器的中文名	一氧化碳气体报警器	0	一氧化碳气体报警器_百度百科	
Touch酒吧的餐馆名称	Touch酒吧	0	Touch酒吧_百度百科	
2007寻根文学价值观论的出版社	<a>湖南人民出版社</a>	0	寻根文学价值观论(2007)	
三生三世你不离我不弃的连载网站	晋江文学城	0	三生三世,你不离,我不弃 - 萌比女孩i - 全本免费阅读 - 话本小说网	
Ann Ward的身高	1.88m	1	188cm	来自百度百科
万庾镇的常住人口	5000人	0	万庾镇_百度百科	
不准吃肉的连载网站	17k小说网	0	隔壁老王系统(H)(大脸吃肉)小说-隔壁老王系统(H)最新章节免费阅读...	
专业嵌入式软件开发——全面走向高质高效编程的ISBN	978-7-121-14783-8	0	专业嵌入式软件开发——全面走向高质高效编程(含DVD光盘1张...	
5·11北京海淀建材市场火灾的内容	建材市场火灾	0	5·11北京海淀建材市场火灾_百度百科	
三生三世之指尖上的流光gl的中文名	三生三世之指尖上的流光gl	0	三生三世之指尖上的流光gl_百度百科	
Apple 1 Hotel Gurney的酒店地址	370, Jalan Burma, 乔治镇, 槟城, 马来西亚 10350	0	Apple 1 Hotel Gurney_百度百科	
万群（湖北省文史馆员）的中文名	万群	0	万群_百度百科	
一追再追的填词	<a>林夕（著名填词人）</a>	1	林夕	来自百度百科
Melody Nurramdhani Laksani的出生地	万隆	1	万隆	来自百度百科
SKF SIL12E轴承的中文名	SKF SIL12E轴承	0	SKF SIL12E轴承_百度百科	
CRH5型动车组（书籍）的ISBN	9787113081942	0	《CRH5型动车组机械师》【价格 目录 书评 正版】_中国图书网	
三国志新英杰传：刘备传的游戏类型	策略	1	策略类	来自百度百科
RPS跑酷的分类	益智休闲	0	RPS跑酷道具类型及使用心得分析_游戏狗安卓游戏	
Haraki View的房间数量	6	0	Haraki View_百度百科	
2011第九届宁波国际纺织面料、辅料、纱线展览会的展会面积	8840平米	1	8840平米	来自百度百科
309s不锈钢的用途	炉用材料。	0	309s不锈钢_百度百科	
专利的取得与保护――专利法原理与实务的出版时间	1996-09	1	1996年9月	来自百度百科
MAPIMessages控件的属性	Action属性	0	MAPIMessages控件_百度百科	
三洋XQB65-B935DX的中文名	三洋XQB65-B935DX	0	三洋XQB65-B935DX_百度百科	
crush（大卫·阿楚雷塔的歌曲）的歌曲语言	<a>英语（语言）</a>	0	crush_百度百科	
kof百神双打版的如何开始	点击右边的人物开始游戏	0	kof百神双打版_百度百科	
三星S27A350H的视频接口	D-Sub（VGA）、HDMI	0	三星S27A350H_百度百科	
NTN 4R3820轴承的厚度	168 mm	1	168毫米	来自百度百科
water for elephants的出品公司	3 Arts Entertainment	0	water for elephants_百度百科	
Greatest Breakbeats的发行时间	2005-05-16	1	2005年5月16日	来自百度百科
ZTE中兴雅典娜的手机类型	时尚手机	0	中兴雅典娜_百度百科	
ifive S的厚度	9.3毫米	1	9.3毫米	来自百度百科
TIMKEN 24781-24721轴承的型号	24781-24721	1	24781-24721	来自百度百科
LG Nexus 4 LTE版的外文名	LG Nexus 4 LTE版	0	【LG Nexus 4 LTE版】报价_参数_图片_论坛_LG 升级版Nexus 4手机...	
下阿来自然村的人口	683人	1	683人	来自百度百科
Ai AF Zoom Micro Nikkor ED 70-180mm F4.5-F5.6D的中文名	Ai AF Zoom Micro Nikkor ED 70-180mm F4.5-F5.6D	0	尼康尼克尔 Ai AF Zoom Micro Nikkor ED 70-180mm F4.5-F5.6D评测...	
NTN 61906-2Z轴承的轴承外径	47	1	47	来自百度百科
B优0801的是否转基因	否	0	B优0801_百度百科	
8·7苏州女婴被抱走事件的地点	苏州	0	8·7苏州女婴被抱走事件_百度百科	
V·斯古斯的中文名	V·斯古斯	0	V·斯古斯_百度百科	
IKO NAXI2530轴承的极限转速	6500	1	6500	来自百度百科
BEYOUTH的品牌简介	台湾的知名化妆保养品牌	0	BEYOUTH_百度百科	
BNM的缩写	BNM	0	BNM_百度翻译	
MKLQ笼型高压液态水阻软起动柜的技术特点	9条	0	MKLQ笼型高压液态水阻软起动柜_百度百科	
PQI i828(16GB)的重量	1.5	0	PQI i828(16GB)_百度百科	
KCB齿轮输油泵的粘度范围	5~1500Ca	0	KCB齿轮输油泵的粘度范围_相关论文(共8篇)_百度学术	
UG NX5.0数控加工范例教程的书名	UG NX5.0数控加工范例教程	0	UG NX5.0数控加工范例教程_百度百科	
3.4.5-三甲氧基肉桂酸乙酯的中文名	3.4.5-三甲氧基肉桂酸乙酯	0	3,4,5-三甲氧基肉桂酸乙酯-盖德化工网	
2005年普通高等学校招生全国统一考试大纲的说明（理科）的出版社	高等教育出版社	0	《2018年普通高等学校招生全国统一考试大纲的说明 理科..._京东图书	
OKI C830dn的产品类型	彩色激光打印机	0	OKI C830dn_百度百科	
三分养七分教的定价	39.80元	0	三分养七分教_百度百科	
一班忠魂的小说性质	公众作品	0	一班忠魂_百度百科	
True BASIC程序设计（第3版）的ISBN	9787302024668	0	True BASIC程序设计（第3版）_百度百科	
VIA C3 667 散的制作工艺	64(K)	0	VIA C3 667 散_百度百科	
三生誓的连载网站	潇湘书院	0	三生誓全部作品_三生誓作家主页_起点中文网	
三氯乙烯机的组成	日本压缩机制冷	0	三氯乙烯机_百度百科	
三线拱肩网蛾的科	网蛾科	0	三线拱肩网蛾_百度百科	
The Minds of Billy Milligan的内容简介	在比利四岁生日前的某一天	0	The Minds of Billy Milligan (豆瓣)_豆瓣读书	
专家教你降三高的出版时间	2011年9月	1	2011年9月	来自百度百科
LG GP08NU6W的接口类型	USB2.0	1	USB2.0	来自百度百科
上海公共租界的外文名	Shanghai International Settlement）	1	Shanghai International Settlement	来自百度百科
P级袭击舰的总功率	165000马力	1	165000马力	来自百度百科
一世太平的连载网站	起点中文网	0	一世太平_百度百科	
《长恨歌》的编剧	杨智深	1	蒋丽萍，赵耀民，王安忆	来自百度知识图谱
丁九的出生日期	1920年10月	1	1920年10月	来自百度百科
IBM IMS Recovery Expert for z/OS的简称	IMS RE	1	IMS RE	来自百度百科
Kolymbia Sun的英文名称	Kolymbia Sun	0	Kolymbia Sun_百度百科	
PIK3CA的外文名	PIK3CA	0	PIK3CA_百度百科	
上海到张家界自助游网的中文名	上海到张家界自助游网	0	上海到张家界自助游网_百度百科	
2003~2004全国工业设计专业大学优秀毕业设计作品集（上下）的作者	何人可	1	何人可	来自百度百科
Pidgey的中文名	波波	1	波波	来自百度百科
Painter IX数字绘画艺术的译者	诸海波	1	诸海波	来自百度百科
三十天灵异笔记的中文名	三十天灵异笔记	0	三十天灵异笔记_百度百科	
I爱银饰的中文名	I爱银饰	0	I爱银饰_百度百科	
e道航 X5的屏幕类型	16:9	0	e道航 X5_百度百科	
Riverview Bungalows的酒店地址	Street 2 Unit 19,Muang Ngoi Neua, 06000 Ban Hatxao	0	...Bungalows Restaurant and Bar)_舒适型_预订优惠价格_地址位置...	
Oran猪漫画教室：从零开始学漫画的开本	16	0	《Oran猪漫画教室从零开始学漫画入门》第1集-在线漫画..._腾讯动漫	
A·奥登的出生日期	1991年8月26日	1	1991年8月26日	来自百度百科
与君一恋两千年的连载网站	小说阅读网	0	《与君一恋两千年》梦繁华 ^第3章^ 最新更新:2011-02-21 17:00:00...	
一分钟开悟故事的页数	270	0	识破因缘：一分钟开悟故事_百度百科	
Restavek的来源	海地克里奥尔语“reste avec”	0	Restavek - 搜狗百科	
back2脊态的含义	让脊柱回归到正常的生理状态	1	让脊柱回归到正常的生理状态	来自百度百科
Adobe Photoshop影像密码的出版时间	2000-11	1	2000年11月	来自百度百科
2006中国卫生人力报告的出版社	中国协和医科大学出版社	0	2006中国卫生人力报告	
FoxPro 2.6 for Windows实用教程的出版时间	1999-04-01	0	FoxPro 2.6 for Windows实用教程_百度百科	
Juniper J2320的中文名	Juniper J2320	0	Juniper J2320_百度百科	
三重基线的装帧	平装	0	三重基线_百度百科	
不可思议的旅行的版本信息	1XDVD	0	不可思议的旅行_百度百科	
Q41F/Q71F对夹式球阀的公称压力	1.6～2.5MPa	1	1.6～2.5MPa	来自百度百科
三国的那点事之周瑜小乔的中文名	三国的那点事之周瑜小乔	0	三国之赤壁大战-第一回 周公瑾调戏小乔 诸葛亮智激周瑜-爱阅小说网	
The Cuckoo Clock of Doom （平装）的页数	144 页	1	144页	来自百度百科
上海莘庄镇舞蹈队的建立时间	2000年	1	2000年	来自百度百科
LOL三贱客的连载网站	创世中文网	0	LOL版三贱客 - 小组话题 - 豆瓣	
CTRLC的交流区	杂谈、倾诉	0	CTRLC_百度百科	
AutoCAD2013室内装潢设计实战的页数	437	1	437页	来自百度百科
七月记的中文名	七月记	0	7月_百度百科	
A·列斯菲的英文名	AugustoOliveiradaSilva,AugustoRecife	1	AugustoOliveiradaSilva,AugustoRecife	来自百度百科
KZMAQ/X气动薄膜三通合流/分流调节阀的垫片	橡胶石棉板、不锈钢绕垫片	0	医用三通阀_医用三通阀价格_优质医用三通阀批发/采购/产地货源...	
一泪倾城，我来带走的连载网站	红袖添香网	0	一泪倾城，我来带走_百度百科	
SSK飚王灵通的摄像头像素	插值130万象素、30万象素CMOS	0	【SSK飚王灵通摄像头】报价_参数_图片_论坛_SSK飚王灵通摄像头...	
RTA之梦一般的青春的小说进度	连载	0	RTA之梦一般的青春_百度百科	
21世纪政治学系列教材·新政治经济学导论的开本	16	0	新政治经济学导论 (豆瓣)	
TIMKEN 2789-2729轴承的型号	2789-2729	1	2789-2729	来自百度百科
21世纪高等学校通信类规划教材·移动通信基础的书名	21世纪高等学校通信类规划教材·移动通信基础	0	21世纪高等学校电子信息类规划教材:电磁场与电磁波(第3版)_王家礼...	
ORICO CYAU3-10的外文名	ORICO CYAU3-10	0	ORICO CYAU3-10_百度百科	
上饶防空战的中文名	上饶防空战	0	上饶防空战_百度百科	
2011 广东省公务员录用考试教材行政职业能力测验的出版社	广东经济出版社	0	...考试中公2020国家公务员录用考试专业教材行政职业能力测验...	
不是英雄的小说进度	连载	0	《[综主文野]不是英雄》Red的奇妙脑洞_【衍生小说|言情小说】_晋...	
ISIS计划的针对	中国留学生在英获得实习经验	0	ISIS计划-360百科	
三个贵州人（蓝色港湾店）的人均价格	115	0	...三个贵州人(蓝色港湾店)地址_电话_人均消费,北京餐厅 - 马蜂窝	
NSK 5312轴承的厚度	54mm	1	54毫米	来自百度百科
2011第八届中国——东盟博览会的展会面积	约50000平方米	1	约50000平方米	来自百度百科
下竹箐村的中文名	下竹箐村	0	下竹箐村_百度百科	
一代巨人毛泽东的定价	18.40	0	毛泽东 中国出了个巨人	
Mosaic Records的外文名	Mosaic Records	0	Mosaic Records_百度百科	
上海龙之梦丽晶大酒店的地理位置	上海浦西地区	1	上海浦西地区	来自百度百科
I-Worm/Supkp.ah的病毒类型	<a>网络蠕虫</a>	0	怎么清除I-WORM/SUPKP.W这个病 – 手机爱问	
FAG 22310-E1-K轴承的内径	50mm	1	50毫米	来自百度百科
《步步惊心》之后现代文——在记忆中找寻你的连载网站	烟雨红尘	0	万古武帝(异能专家)最新章节 全文免费阅读 无弹窗-千千小说网	
PP斜管填料的中文名	PP斜管填料	0	PP斜管填料_百度百科	
W·奥利华拉的国籍	巴西	1	巴西	来自百度百科
上海，允许我再醉一次的作者	杀破君	0	上海，允许我再醉一次_百度百科	
2010款奔驰 Viano 豪华版的车型厢式	一厢车	0	2010款奔驰 Viano 豪华版_百度百科	
不孕不育临证效典的书名	不孕不育临证效典	0	不孕不育临证效典_百度百科	
ECO（生态环保的简写）的全称	ECOLOGICAL	0	ECO_百度百科	
一只松鼠的作者	刘不学	1	刘不学	来自百度百科
22帅帅的小说进度	连载	0	22一般帅全部小说_22一般帅作品集-话本小说网	
Moreryadom2的周围景观	哥伦布纪念塔、加泰罗尼亚广场、圣家堂、波盖利亚市场、奥林匹克港、巴特罗之家、米拉之家、哥特区、西班牙巴塞罗那凯旋门、兰布拉大道、皇家广场	0	moreryadom2的周围景观_百度图片	
msams.exe的后台程序	是	0	msams.exe_msams.exe是什么进程_进程查询_911查询	
2014亚洲大学排行榜的中文名	2014亚洲大学排行榜	0	2014亚洲大学排行榜_百度百科	
Domus Lucilla In Vaticano的酒店地址	Via Candia 121, 梵蒂冈城, 00192 罗马	0	Domus Lucilla In Vaticano_百度百科	
21世纪高职高专系列规划教材思想政治（第二册）的定价	33.00元	0	21世纪高职高专系列规划教材 思想政治(第二册),PDF下载-电子书...	
HP g4-1302TX的中文名	HP g4-1302TX	0	惠普g4-1302tx_百度百科	
49种实用化工产品制造技术的出版时间	1995年1月1日	1	1995年1月1日	来自百度百科
不灭狂神的小说进度	已完结	0	不灭狂神最新章节,不灭狂神小说txt全集下载,免费全文..._纵横中文网	
《师缘》杂志编辑部的出版物	面向免费师范生的《师缘》杂志	0	《师缘》杂志编辑部_百度百科	
Thank You Cafe的人均价格	33	0	【thankyoucafebar】电话,地址,价格,营业时间(图) - 厦门美食 - ...	
